Date,DAX_Return,SPX_Return,Extreme_SPX,Extreme_DAX
2008-01-22,-7.7390722832740355,-1.114705738766174,False,True
2008-01-23,-5.001697332066442,2.121552966457579,False,True
2008-01-24,5.761046955667424,1.001243825754608,False,True
2008-03-17,-4.268430701200574,-0.8999054083631237,False,True
2008-03-18,3.3574326606923868,4.153489642900969,True,False
2008-09-15,-2.776489958036341,-4.828298467905812,True,False
2008-09-17,-1.7620719858717147,-4.82880326718849,True,False
2008-09-18,0.04162160045370995,4.242880631709865,True,False
2008-09-19,5.412608241169288,3.9467377977745945,True,True
2008-09-22,-1.3300663594544264,-3.8986804501017693,True,False
2008-09-29,-4.320931488962025,-9.218959234553594,True,True
2008-09-30,0.4114069301996008,5.2758158003824995,True,False
2008-10-02,-2.5413542457250857,-4.112494871855385,True,False
2008-10-06,-7.335522386375715,-3.9279269706541475,True,True
2008-10-07,-1.1271710468494616,-5.910779118196403,True,False
2008-10-08,-6.056051359779822,-1.1397406925517297,False,True
2008-10-09,-2.5579614155696975,-7.922406331313588,True,False
2008-10-10,-7.27027044713133,-1.1828976472150512,False,True
2008-10-13,10.797468060459709,10.957196759533847,True,True
2008-10-15,-6.71290844301781,-9.4695124884235,True,True
2008-10-16,-5.0370990540493645,4.162882229094104,True,True
2008-10-20,1.116438186241109,4.658287732523155,True,False
2008-10-22,-4.561547326251949,-6.295307968785188,True,True
2008-10-24,-5.083814274690939,-3.512077795125528,False,True
2008-10-28,10.685088680781094,10.245735847393652,True,True
2008-11-04,4.87632990889728,4.001447845739003,True,True
2008-11-05,-2.128771207965261,-5.411525893116384,True,False
2008-11-06,-7.082813595694848,-5.157120827951978,True,True
2008-11-11,-5.395131592332943,-2.228720025294257,False,True
2008-11-12,-3.0011754338110808,-5.328886594572081,True,False
2008-11-13,0.6196184657164808,6.692259078968742,True,False
2008-11-14,1.2974919237400266,-4.259349062086725,True,False
2008-11-19,-5.04677204598821,-6.310549598420712,True,True
2008-11-20,-3.123303079039332,-6.948184541277702,True,False
2008-11-21,-2.2232437105810643,6.1328001115067465,True,False
2008-11-24,9.842831647389962,6.271423081455647,True,True
2008-12-01,-6.0619380281299975,-9.353652163820918,True,True
2008-12-02,3.0697256239870914,3.916366397642246,True,False
2008-12-08,7.355117865447711,3.7668883466785243,False,True
2008-12-16,1.6003003753822136,5.008481578859222,True,False
2009-01-02,3.329861639872029,4.517786441466891,True,False
2009-01-14,-4.738340219730718,-3.40324644901829,False,True
2009-01-20,-2.9383424502178266,-5.426201462391315,True,False
2009-01-21,0.5011139691806131,4.257205806919397,True,False
2009-01-28,4.418207779428103,3.300683868264074,False,True
2009-02-10,-3.5170100522667154,-5.036866949414839,True,False
2009-02-17,-4.561399335193966,-4.662949981810491,True,True
2009-02-20,-4.874676353006546,-1.1478592263616476,False,True
2009-02-24,-1.0393074175518704,3.9320049221726596,True,False
2009-03-02,-3.5395085611398716,-4.774188875107267,True,False
2009-03-04,5.282920559217988,2.347535830991525,False,True
2009-03-05,-5.153760402125182,-4.346330218569738,True,True
2009-03-10,5.145605125584545,6.17186323188922,True,True
2009-03-12,1.0703573630405014,3.992107486845256,True,False
2009-03-23,2.610910943340887,6.836638735773641,True,False
2009-03-30,-5.233113498217062,-3.5439323427820706,False,True
2009-04-02,5.89505559041368,2.8322225961306002,False,True
2009-04-20,-4.159436973757413,-4.373220914165703,True,True
2009-05-04,2.7504084778261504,3.868912391353381,True,False
2010-05-10,5.16300311112226,4.303470414561544,True,True
2010-05-20,-2.0375947497336044,-3.9755795837766263,True,False
2011-08-04,-3.459924291706072,-4.90016550437416,True,False
2011-08-08,-5.147596883376723,-6.895836939262512,True,True
2011-08-09,-0.1045567389326503,4.631744106338802,True,False
2011-08-10,-5.2682951632238115,-4.515679702747437,True,True
2011-08-11,3.229426928061506,4.5250594363771555,True,False
2011-08-18,-5.994660465381788,-4.561859893236344,True,True
2011-09-06,-6.419464668603682,-0.7464076457609709,False,True
2011-09-09,-4.124414359185222,-2.706856251096215,False,True
2011-09-22,-5.088653833912056,-3.2402456759229787,False,True
2011-09-27,5.156598554787166,1.0631665357294655,False,True
2011-10-04,-5.32483735825515,-0.662429677263015,False,True
2011-10-05,4.796542684131743,1.7707918945510777,False,True
2011-10-27,5.210379874040242,3.3716591168134338,False,True
2011-11-01,-5.1252687912941335,-2.834005962159464,False,True
2011-11-28,4.493645557201143,2.8821079038609922,False,True
2011-11-30,4.861513459605979,4.240343833622763,True,True
2012-01-03,4.447007177328728,1.5355483670177896,False,True
2012-06-29,4.240100405369104,2.4614793734920246,False,True
2013-01-02,2.162228496167325,4.188614322858325,True,False
2015-08-24,-4.816498273740313,-4.021144434651927,True,True
2015-08-25,4.8520549817836685,-1.3614249742655897,False,True
2015-08-26,-1.2987696537517561,3.829129943453164,True,False
2016-01-04,-4.372041252076922,-2.487852683927377,False,True
2016-06-24,-7.0672722663131005,-3.6580792805582627,False,True
2018-02-05,-0.766864845438969,-4.184254093838143,True,False
2018-12-06,-4.736121457218348,-0.15233879141442858,False,True
2020-02-27,-3.241190685339264,-4.516813635226115,True,False
2020-03-02,-0.2735321873588156,4.50108687694132,True,False
2020-03-04,1.1802924617435067,4.133634936063314,True,False
2020-03-09,-8.276975012189505,-7.901041294037148,True,True
2020-03-10,-1.4173287913327943,4.821505242585911,True,False
2020-03-11,-0.35201573884131526,-5.01028928086054,True,False
2020-03-12,-13.054858701122829,-9.994485240247352,True,True
2020-03-13,0.7714862970687714,8.880840694923595,True,False
2020-03-16,-5.451679009465804,-12.765219747281742,True,True
2020-03-17,2.226727567118638,5.822631263569171,True,False
2020-03-18,-5.724997918466842,-5.322227233208024,True,True
2020-03-20,3.6324605834880646,-4.432762405336681,True,False
2020-03-24,10.414287423694867,8.968323251796326,True,True
2020-03-26,1.2749736945992256,6.054383107424656,True,False
2020-04-01,-4.015714116470213,-4.514636273278691,True,False
2020-04-06,5.60732649535235,6.796824414483035,True,True
2020-05-18,5.51802385635398,3.1015208770073426,False,True
2020-06-11,-4.571080087546507,-6.075269299628893,True,True
2020-09-21,-4.473379160177045,-1.1638564027297718,False,True
2020-10-28,-4.2595233654352604,-3.592554210857772,False,True
2020-11-09,4.817560046682204,1.1631974746344154,False,True
2022-03-04,-4.5083713794355305,-0.7965684543001903,False,True
2022-03-09,7.623189406906642,2.537359812214112,False,True
2022-05-18,-1.2639918500398541,-4.123380929124887,True,False
2022-06-13,-2.4628963768441556,-3.9539931990039934,True,False
2022-09-13,-1.6044688012082253,-4.4199163031974065,True,False
2022-11-10,3.4503815043386363,5.395251566479769,True,False
2025-04-03,-3.053858879899945,-4.960591182899663,True,False
2025-04-04,-5.079904634021626,-6.160906189823093,True,True
2025-04-07,-4.215679015036202,-0.23341946059635882,False,True
2025-04-09,-3.050857432892815,9.089487983303645,True,False
2025-04-10,4.434082340157803,-3.522060702411168,False,True
